,Country,Species,Year,inland_Unit,inland_TON_Value,inland_TON_Flags,COUNTRY_YEAR_SPECIES
129,Austria,Freshwater fishes nei [Actinopterygii],2019,Tonnes,350.0,Estimated value,AUT_2019_FRF
130,Austria,Freshwater fishes nei [Actinopterygii],2020,Tonnes,350.0,Estimated value,AUT_2020_FRF
131,Austria,Freshwater fishes nei [Actinopterygii],2021,Tonnes,350.0,Estimated value,AUT_2021_FRF
132,Belgium,TOTAL SPECIES,2010,Tonnes,511.0,,BEL_2010_SPECIES_TOTAL
133,Belgium,TOTAL SPECIES,2011,Tonnes,283.0,,BEL_2011_SPECIES_TOTAL
134,Belgium,TOTAL SPECIES,2012,Tonnes,284.0,,BEL_2012_SPECIES_TOTAL
135,Belgium,TOTAL SPECIES,2013,Tonnes,284.0,Estimated value,BEL_2013_SPECIES_TOTAL
136,Belgium,TOTAL SPECIES,2014,Tonnes,284.0,Estimated value,BEL_2014_SPECIES_TOTAL
137,Belgium,TOTAL SPECIES,2015,Tonnes,283.0,Estimated value,BEL_2015_SPECIES_TOTAL
138,Belgium,TOTAL SPECIES,2016,Tonnes,283.0,Estimated value,BEL_2016_SPECIES_TOTAL
139,Belgium,TOTAL SPECIES,2017,Tonnes,283.0,Estimated value,BEL_2017_SPECIES_TOTAL
140,Belgium,TOTAL SPECIES,2018,Tonnes,283.0,Estimated value,BEL_2018_SPECIES_TOTAL
141,Belgium,TOTAL SPECIES,2019,Tonnes,283.0,Estimated value,BEL_2019_SPECIES_TOTAL
142,Belgium,TOTAL SPECIES,2020,Tonnes,283.0,Estimated value,BEL_2020_SPECIES_TOTAL
143,Belgium,TOTAL SPECIES,2021,Tonnes,283.0,Estimated value,BEL_2021_SPECIES_TOTAL
144,Belgium,FRESHWATER FISHES,2010,Tonnes,375.0,,BEL_2010_1
145,Belgium,FRESHWATER FISHES,2011,Tonnes,177.0,,BEL_2011_1
146,Belgium,FRESHWATER FISHES,2012,Tonnes,177.0,,BEL_2012_1
147,Belgium,FRESHWATER FISHES,2013,Tonnes,177.0,Estimated value,BEL_2013_1
148,Belgium,FRESHWATER FISHES,2014,Tonnes,177.0,Estimated value,BEL_2014_1
149,Belgium,FRESHWATER FISHES,2015,Tonnes,177.0,Estimated value,BEL_2015_1
150,Belgium,FRESHWATER FISHES,2016,Tonnes,177.0,Estimated value,BEL_2016_1
151,Belgium,FRESHWATER FISHES,2017,Tonnes,177.0,Estimated value,BEL_2017_1
152,Belgium,FRESHWATER FISHES,2018,Tonnes,177.0,Estimated value,BEL_2018_1
153,Belgium,FRESHWATER FISHES,2019,Tonnes,177.0,Estimated value,BEL_2019_1
154,Belgium,FRESHWATER FISHES,2020,Tonnes,177.0,Estimated value,BEL_2020_1
155,Belgium,FRESHWATER FISHES,2021,Tonnes,177.0,Estimated value,BEL_2021_1
156,Belgium,"CARPS, BARBELS AND OTHER CYPRINIDS",2010,Tonnes,315.0,,BEL_2010_11
157,Belgium,"CARPS, BARBELS AND OTHER CYPRINIDS",2011,Tonnes,75.0,,BEL_2011_11
158,Belgium,"CARPS, BARBELS AND OTHER CYPRINIDS",2012,Tonnes,75.0,,BEL_2012_11
159,Belgium,"CARPS, BARBELS AND OTHER CYPRINIDS",2013,Tonnes,75.0,Estimated value,BEL_2013_11
160,Belgium,"CARPS, BARBELS AND OTHER CYPRINIDS",2014,Tonnes,75.0,Estimated value,BEL_2014_11
161,Belgium,"CARPS, BARBELS AND OTHER CYPRINIDS",2015,Tonnes,75.0,Estimated value,BEL_2015_11
162,Belgium,"CARPS, BARBELS AND OTHER CYPRINIDS",2016,Tonnes,75.0,Estimated value,BEL_2016_11
163,Belgium,"CARPS, BARBELS AND OTHER CYPRINIDS",2017,Tonnes,75.0,Estimated value,BEL_2017_11
164,Belgium,"CARPS, BARBELS AND OTHER CYPRINIDS",2018,Tonnes,75.0,Estimated value,BEL_2018_11
