,Country,Species,Year,aq_TON,aq_TON_Value,aq_TON_Flags,COUNTRY_YEAR_SPECIES,aq_USD,aq_USD_Value,aq_USD_Flags
95,Australia,Rainbow trout [Oncorhynchus mykiss],2021,Tonnes,9.0,,AUS_2021_TRR,US Dollar,108171.0,
96,Australia,Sea trout [Salmo trutta],2012,Tonnes,165.0,,AUS_2012_TRS,US Dollar,1904041.0,
97,Australia,Sea trout [Salmo trutta],2013,Tonnes,198.0,,AUS_2013_TRS,US Dollar,2113339.0,
98,Australia,Sea trout [Salmo trutta],2014,Tonnes,253.0,,AUS_2014_TRS,US Dollar,2467596.0,
99,Australia,Sea trout [Salmo trutta],2015,Tonnes,277.35,,AUS_2015_TRS,US Dollar,2131554.0,
100,Australia,Sea trout [Salmo trutta],2016,Tonnes,195.704,,AUS_2016_TRS,US Dollar,1700681.0,
101,Australia,Sea trout [Salmo trutta],2017,Tonnes,211.047,,AUS_2017_TRS,US Dollar,2010575.0,
102,Australia,Sea trout [Salmo trutta],2018,Tonnes,181.565,,AUS_2018_TRS,US Dollar,2003654.0,
103,Australia,Sea trout [Salmo trutta],2019,Tonnes,245.034,,AUS_2019_TRS,US Dollar,1814112.0,
104,Australia,Sea trout [Salmo trutta],2020,Tonnes,207.0,,AUS_2020_TRS,US Dollar,1859045.0,
105,Australia,Sea trout [Salmo trutta],2021,Tonnes,287.0,,AUS_2021_TRS,US Dollar,2427555.0,
106,Australia,MISCELLANEOUS DIADROMOUS FISHES,2012,Tonnes,4473.3,,AUS_2012_25,US Dollar,42255046.0,
107,Australia,MISCELLANEOUS DIADROMOUS FISHES,2013,Tonnes,3559.55,,AUS_2013_25,US Dollar,31638739.0,
108,Australia,MISCELLANEOUS DIADROMOUS FISHES,2014,Tonnes,3439.83,,AUS_2014_25,US Dollar,30510911.0,
109,Australia,MISCELLANEOUS DIADROMOUS FISHES,2015,Tonnes,3771.6,,AUS_2015_25,US Dollar,27831413.0,
110,Australia,MISCELLANEOUS DIADROMOUS FISHES,2016,Tonnes,3542.113,,AUS_2016_25,US Dollar,25980697.0,
111,Australia,MISCELLANEOUS DIADROMOUS FISHES,2017,Tonnes,4113.95,,AUS_2017_25,US Dollar,31464549.0,
112,Australia,MISCELLANEOUS DIADROMOUS FISHES,2018,Tonnes,5668.433,,AUS_2018_25,US Dollar,40280750.0,
113,Australia,MISCELLANEOUS DIADROMOUS FISHES,2019,Tonnes,3364.671,,AUS_2019_25,US Dollar,19236877.0,
114,Australia,MISCELLANEOUS DIADROMOUS FISHES,2020,Tonnes,3427.408,,AUS_2020_25,US Dollar,36059847.0,
115,Australia,MISCELLANEOUS DIADROMOUS FISHES,2021,Tonnes,7814.738,,AUS_2021_25,US Dollar,64718992.0,
116,Australia,Barramundi(=Giant seaperch) [Lates calcarifer],2012,Tonnes,4473.3,,AUS_2012_GIP,US Dollar,42255046.0,
117,Australia,Barramundi(=Giant seaperch) [Lates calcarifer],2013,Tonnes,3559.55,,AUS_2013_GIP,US Dollar,31638739.0,
118,Australia,Barramundi(=Giant seaperch) [Lates calcarifer],2014,Tonnes,3439.83,,AUS_2014_GIP,US Dollar,30510911.0,
119,Australia,Barramundi(=Giant seaperch) [Lates calcarifer],2015,Tonnes,3771.6,,AUS_2015_GIP,US Dollar,27831413.0,
120,Australia,Barramundi(=Giant seaperch) [Lates calcarifer],2016,Tonnes,3542.113,,AUS_2016_GIP,US Dollar,25980697.0,
121,Australia,Barramundi(=Giant seaperch) [Lates calcarifer],2017,Tonnes,4113.95,,AUS_2017_GIP,US Dollar,31464549.0,
122,Australia,Barramundi(=Giant seaperch) [Lates calcarifer],2018,Tonnes,5668.433,,AUS_2018_GIP,US Dollar,40280750.0,
123,Australia,Barramundi(=Giant seaperch) [Lates calcarifer],2019,Tonnes,3364.671,,AUS_2019_GIP,US Dollar,19236877.0,
124,Australia,Barramundi(=Giant seaperch) [Lates calcarifer],2020,Tonnes,3427.408,,AUS_2020_GIP,US Dollar,36059847.0,
125,Australia,Barramundi(=Giant seaperch) [Lates calcarifer],2021,Tonnes,7814.738,,AUS_2021_GIP,US Dollar,64718992.0,
126,Australia,MARINE FISHES,2012,Tonnes,8624.94,,AUS_2012_3,US Dollar,172412026.0,
127,Australia,MARINE FISHES,2013,Tonnes,8375.71,,AUS_2013_3,US Dollar,159078499.0,
128,Australia,MARINE FISHES,2014,Tonnes,8123.0,,AUS_2014_3,US Dollar,117518986.0,
129,Australia,MARINE FISHES,2015,Tonnes,9516.0,,AUS_2015_3,US Dollar,111802531.0,
130,Australia,MARINE FISHES,2016,Tonnes,10913.0,,AUS_2016_3,US Dollar,116583817.0,
131,Australia,MARINE FISHES,2017,Tonnes,10394.0,,AUS_2017_3,US Dollar,108838721.0,
132,Australia,MARINE FISHES,2018,Tonnes,10487.0,,AUS_2018_3,US Dollar,116458051.0,
133,Australia,MARINE FISHES,2019,Tonnes,11203.0,,AUS_2019_3,US Dollar,117089234.0,
134,Australia,MARINE FISHES,2020,Tonnes,11412.991,,AUS_2020_3,US Dollar,121556997.0,
135,Australia,MARINE FISHES,2021,Tonnes,10424.91,,AUS_2021_3,US Dollar,95753744.0,
136,Australia,"TUNAS, BONITOS, BILLFISHES",2012,Tonnes,7087.0,,AUS_2012_36,US Dollar,155315057.0,
137,Australia,"TUNAS, BONITOS, BILLFISHES",2013,Tonnes,7486.0,,AUS_2013_36,US Dollar,148188882.0,
138,Australia,"TUNAS, BONITOS, BILLFISHES",2014,Tonnes,7544.0,,AUS_2014_36,US Dollar,110300819.0,
139,Australia,"TUNAS, BONITOS, BILLFISHES",2015,Tonnes,8418.0,,AUS_2015_36,US Dollar,98150639.0,
140,Australia,"TUNAS, BONITOS, BILLFISHES",2016,Tonnes,8895.0,,AUS_2016_36,US Dollar,94291839.0,
141,Australia,"TUNAS, BONITOS, BILLFISHES",2017,Tonnes,8100.0,,AUS_2017_36,US Dollar,88092193.0,
142,Australia,"TUNAS, BONITOS, BILLFISHES",2018,Tonnes,8000.0,,AUS_2018_36,US Dollar,94141405.0,
143,Australia,"TUNAS, BONITOS, BILLFISHES",2019,Tonnes,8252.0,,AUS_2019_36,US Dollar,89661573.0,
144,Australia,"TUNAS, BONITOS, BILLFISHES",2020,Tonnes,8345.0,,AUS_2020_36,US Dollar,94299293.0,
145,Australia,"TUNAS, BONITOS, BILLFISHES",2021,Tonnes,7600.0,,AUS_2021_36,US Dollar,68358219.0,
